City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Klaksvik,FO,62.2266,-6.589,41.92,70,99,7.43,overcast clouds
152,Yulara,AU,-25.2406,130.9889,58.84,31,0,8.97,clear sky
153,Marsaxlokk,MT,35.8419,14.5431,76.08,60,0,2.3,clear sky
154,Rocha,UY,-34.4833,-54.3333,60.31,80,100,9.71,overcast clouds
155,Balykshi,KZ,47.0667,51.8667,73.4,43,0,15.66,clear sky
156,Bonthe,SL,7.5264,-12.505,75.18,89,100,7.31,light rain
157,Provideniya,RU,64.3833,-173.3,41.36,100,100,8.99,light intensity shower rain
158,Quelimane,MZ,-17.8786,36.8883,75.15,83,0,10.36,clear sky
159,Sosnovo-Ozerskoye,RU,52.5249,111.5418,28.36,73,1,4.47,clear sky
160,Hilo,US,19.7297,-155.09,82.27,90,55,4.0,broken clouds
161,Codrington,AU,-38.2667,141.9667,43.32,94,39,8.84,scattered clouds
162,Atar,MR,20.5169,-13.0499,90.66,24,100,6.4,overcast clouds
163,Changli,CN,39.7042,119.1506,57.97,32,0,8.57,clear sky
164,Castro,BR,-24.7911,-50.0119,58.26,76,0,7.34,clear sky
165,Muros,ES,42.7762,-9.0603,74.16,81,100,6.67,overcast clouds
166,Bengkulu,ID,-3.8004,102.2655,74.37,90,100,2.06,overcast clouds
167,Puerto Ayora,EC,-0.7393,-90.3518,75.16,82,73,4.0,broken clouds
168,Emba,KZ,48.8264,58.1442,66.02,32,9,5.99,clear sky
169,Antofagasta,CL,-23.65,-70.4,60.08,65,1,10.92,clear sky
170,Vestmannaeyjar,IS,63.4427,-20.2734,48.7,85,100,32.08,overcast clouds
171,Altamont,US,42.2068,-121.7372,62.78,48,100,1.99,overcast clouds
172,Vila Velha,BR,-20.3297,-40.2925,71.55,76,75,13.8,broken clouds
173,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,91,100,8.05,overcast clouds
174,Unguia,CO,8.0434,-77.0945,87.82,76,45,5.95,scattered clouds
175,Fortuna,US,40.5982,-124.1573,62.92,89,100,1.01,overcast clouds
176,Leningradskiy,RU,69.3833,178.4167,33.35,98,100,21.16,light snow
177,Plettenberg Bay,ZA,-34.0527,23.3716,54.16,80,100,7.83,overcast clouds
178,Kachug,RU,53.9606,105.8817,34.14,88,42,1.86,scattered clouds
179,Dhidhdhoo,MV,6.8833,73.1,80.94,77,100,10.16,overcast clouds
180,Kahului,US,20.8947,-156.47,84.85,76,70,18.01,broken clouds
181,Novoorsk,RU,51.381,58.9813,61.45,55,12,8.32,few clouds
182,Buenos Aires,AR,-34.6132,-58.3772,69.69,75,0,13.8,clear sky
183,Lavrentiya,RU,65.5833,-171.0,38.12,87,100,11.68,overcast clouds
184,Balkhash,KZ,46.844,74.9804,56.53,39,0,18.34,clear sky
185,Atuona,PF,-9.8,-139.0333,76.64,76,9,22.1,clear sky
186,Dole,FR,47.0833,5.5,51.71,76,0,2.3,clear sky
187,Timra,SE,62.487,17.3257,50.68,93,40,4.61,light intensity drizzle
188,Mapua,NZ,-41.25,173.1,53.19,98,100,11.32,light rain
189,Novonikolayevskiy,RU,50.9738,42.3649,71.78,74,100,15.39,overcast clouds
190,Kaitangata,NZ,-46.2817,169.8464,50.04,65,99,3.02,light rain
191,Bilma,NE,18.6853,12.9164,87.4,44,35,17.18,scattered clouds
192,Rawson,AR,-43.3002,-65.1023,46.2,61,100,18.92,overcast clouds
193,Luena,AO,-11.7833,19.9167,63.82,74,100,5.84,overcast clouds
194,East London,ZA,-33.0153,27.9116,59.5,88,100,8.39,moderate rain
195,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,65,75,9.22,light rain
196,Gaspe,CA,48.8334,-64.4819,58.91,41,0,12.66,clear sky
197,Clyde River,CA,70.4692,-68.5914,35.83,93,100,9.22,overcast clouds
198,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,86,0,4.47,clear sky
199,Chokurdakh,RU,70.6333,147.9167,32.49,72,13,7.09,few clouds
200,Mabaruma,GY,8.2,-59.7833,82.42,71,100,6.2,overcast clouds
201,Mogadishu,SO,2.0371,45.3438,76.95,88,86,16.37,overcast clouds
202,Maldonado,UY,-34.6667,-54.9167,69.19,73,100,9.8,light rain
203,Kawalu,ID,-7.3817,108.2082,71.4,96,94,2.35,overcast clouds
204,Luxor,EG,25.6989,32.6421,82.45,30,0,5.75,clear sky
205,Muyezerskiy,RU,63.9333,31.65,46.99,96,100,3.36,overcast clouds
206,Celestun,MX,20.8667,-90.4,87.12,67,2,16.11,clear sky
207,Touros,BR,-5.1989,-35.4608,77.36,78,23,15.26,few clouds
208,Puerto Escondido,MX,15.85,-97.0667,85.03,51,75,16.11,broken clouds
209,Port Lincoln,AU,-34.7333,135.8667,48.61,78,0,6.2,clear sky
210,Talitsy,RU,56.5289,42.3344,52.77,98,100,5.17,overcast clouds
211,Padang,ID,-0.9492,100.3543,76.51,82,99,2.33,light rain
212,Lemon Tree Passage,AU,-32.7327,152.036,56.84,87,98,9.91,overcast clouds
213,Ancud,CL,-41.8697,-73.8203,43.23,68,93,9.22,overcast clouds
214,Hithadhoo,MV,-0.6,73.0833,81.5,75,97,8.99,overcast clouds
215,Krasnoselkup,RU,65.7,82.4667,46.6,92,100,17.65,light rain
216,Nichinan,JP,31.6,131.3667,77.45,92,100,28.3,light rain
217,Tocopilla,CL,-22.092,-70.1979,64.89,63,42,11.54,scattered clouds
218,Batemans Bay,AU,-35.7167,150.1833,55.09,49,30,9.93,scattered clouds
219,Quatre Cocos,MU,-20.2078,57.7625,71.71,80,27,15.59,light rain
220,Portland,US,45.5234,-122.6762,82.87,45,30,5.99,scattered clouds
221,Hamilton,US,39.1834,-84.5333,85.6,53,35,3.0,scattered clouds
222,Cochrane,CA,51.1834,-114.4687,65.89,33,40,5.75,scattered clouds
223,Nampula,MZ,-15.1165,39.2666,69.75,83,0,13.0,clear sky
224,Santa Marta,CO,11.2408,-74.199,77.9,88,75,11.5,broken clouds
225,Lebu,CL,-37.6167,-73.65,48.52,58,8,8.75,clear sky
226,Kilindoni,TZ,-7.9139,39.6668,76.26,78,36,16.17,scattered clouds
227,Lakes Entrance,AU,-37.8811,147.981,48.16,81,86,19.57,overcast clouds
228,Tessalit,ML,20.1986,1.0114,94.39,24,64,6.69,broken clouds
229,Cockburn Town,TC,21.4612,-71.1419,87.76,62,40,13.8,scattered clouds
230,Krasnokamensk,RU,50.0979,118.0369,31.26,56,0,8.25,clear sky
231,Port Perry,CA,44.1068,-78.9444,76.48,69,61,12.73,broken clouds
232,Moranbah,AU,-22.0016,148.0466,71.04,78,0,4.9,clear sky
233,Bonavista,CA,48.6499,-53.1147,54.09,56,21,23.78,few clouds
234,Ewo,CG,-0.8725,14.8206,74.41,87,100,1.74,moderate rain
235,Naze,JP,28.3667,129.4833,77.92,84,100,19.08,overcast clouds
236,Nome,US,64.5011,-165.4064,46.47,87,100,25.32,light rain
237,Yumen,CN,40.2833,97.2,66.45,38,100,13.18,overcast clouds
238,Baker,US,30.5882,-91.1682,91.81,52,87,5.01,overcast clouds
239,Antalaha,MG,-14.9003,50.2788,67.28,86,20,6.51,light rain
240,Slyudyanka,RU,51.6594,103.7061,40.14,74,0,5.14,clear sky
241,Okha,RU,53.5739,142.9478,52.12,97,100,15.32,overcast clouds
242,San Jose,US,37.3394,-121.895,70.47,76,75,17.27,broken clouds
243,Torit,SS,4.4133,32.5678,73.04,75,61,1.86,broken clouds
244,Ode,NG,7.7899,5.7117,70.25,95,100,7.18,light rain
245,Teahupoo,PF,-17.8333,-149.2667,76.96,70,34,19.01,scattered clouds
246,Ercis,TR,39.0287,43.3586,64.38,36,5,3.69,clear sky
247,Nyurba,RU,63.2842,118.3319,27.36,77,99,4.12,overcast clouds
248,Oranjemund,NA,-28.55,16.4333,52.81,84,24,9.24,few clouds
249,Emet,TR,39.343,29.2585,60.71,94,1,4.54,clear sky
250,Roald,NO,62.5833,6.1333,51.75,76,75,16.11,broken clouds
251,Le Moule,GP,16.3332,-61.3473,84.24,100,94,4.0,overcast clouds
252,Sakakah,SA,29.9697,40.2064,89.17,15,0,8.95,clear sky
253,Along,IN,28.1667,94.7667,73.56,98,54,1.83,broken clouds
254,Basco,PH,20.4487,121.9702,83.5,74,95,18.92,overcast clouds
255,Teguise,ES,29.0605,-13.564,73.62,73,40,5.75,scattered clouds
256,Qaqortoq,GL,60.7167,-46.0333,46.09,95,100,3.31,light rain
257,Marfino,RU,55.7028,37.3822,55.65,88,100,13.42,fog
258,Guerrero Negro,MX,27.9769,-114.0611,74.44,61,0,14.76,clear sky
259,Georgetown,MY,5.4112,100.3354,78.89,87,20,0.0,few clouds
260,Kitui,KE,-1.367,38.0106,63.7,79,31,8.84,scattered clouds
261,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,90,17,2.95,few clouds
262,Ayna,PE,-12.65,-73.9167,69.73,68,75,2.13,broken clouds
263,Sioux Lookout,CA,50.1001,-91.917,61.65,81,100,6.69,overcast clouds
264,Araouane,ML,18.9048,-3.5265,96.21,27,46,14.7,scattered clouds
265,Aasiaat,GL,68.7098,-52.8699,35.24,91,100,2.26,overcast clouds
266,Coihueco,CL,-36.6167,-71.8333,51.84,52,16,4.81,few clouds
267,Caraz,PE,-9.0486,-77.81,69.58,61,76,8.28,light rain
268,Gamba,GA,-2.65,10.0,75.58,86,100,8.43,overcast clouds
269,Isangel,VU,-19.55,169.2667,77.74,76,51,12.48,broken clouds
270,Vestmanna,FO,62.1564,-7.1664,40.12,87,100,5.75,overcast clouds
271,Zhezkazgan,KZ,47.8043,67.7144,55.58,24,0,9.51,clear sky
272,Buraydah,SA,26.326,43.975,91.85,13,5,7.85,clear sky
273,Iqaluit,CA,63.7506,-68.5145,45.7,61,2,18.99,clear sky
274,Mitsamiouli,KM,-11.3847,43.2844,75.72,81,5,9.89,clear sky
275,Amarillo,US,35.222,-101.8313,95.04,35,0,5.99,clear sky
276,Gongzhuling,CN,43.5008,124.8198,44.33,66,27,3.22,scattered clouds
277,Waipawa,NZ,-41.4122,175.5153,53.15,68,100,8.61,overcast clouds
278,Were Ilu,ET,10.6,39.4333,51.21,91,77,5.73,moderate rain
279,Laguna,US,38.421,-121.4238,78.17,69,100,10.36,overcast clouds
280,Badnawar,IN,23.0167,75.2167,72.07,87,21,7.09,few clouds
281,Alto Araguaia,BR,-17.3147,-53.2153,86.94,30,77,5.46,broken clouds
282,Pitimbu,BR,-7.4706,-34.8086,76.66,77,14,12.68,few clouds
283,Cabo San Lucas,MX,22.8909,-109.9124,94.6,70,99,10.58,overcast clouds
284,Platonovka,RU,52.7106,41.952,64.62,76,95,12.97,overcast clouds
285,Puerto Montt,CL,-41.4698,-72.9447,49.23,69,94,5.77,overcast clouds
286,Severodvinsk,RU,64.5635,39.8302,51.91,95,92,8.52,overcast clouds
287,Kaeo,NZ,-35.1,173.7833,62.33,89,99,13.56,light rain
288,Ullal,IN,12.8,74.85,77.95,94,40,0.0,mist
289,Miyako,JP,39.6367,141.9525,75.7,95,100,11.14,overcast clouds
290,Kosa,RU,59.9445,54.9977,48.33,85,100,4.72,overcast clouds
291,Aleksandrov Gay,RU,50.147,48.5704,72.07,54,19,13.94,few clouds
292,Broken Hill,AU,-31.95,141.4333,48.22,88,57,6.44,broken clouds
293,College,US,64.8569,-147.8028,55.29,57,91,5.01,overcast clouds
294,Dongsheng,CN,39.8161,109.9776,57.27,38,100,13.09,overcast clouds
295,Channel-Port Aux Basques,CA,47.5702,-59.1367,53.87,62,27,25.1,scattered clouds
296,Yeppoon,AU,-23.1333,150.7333,65.98,89,1,3.4,clear sky
297,Richards Bay,ZA,-28.783,32.0377,66.09,93,21,3.13,few clouds
298,College Station,US,30.628,-96.3344,96.6,39,40,5.75,scattered clouds
299,Vavozh,RU,56.7751,51.931,54.99,67,100,9.71,overcast clouds
300,Zatec,CZ,50.3272,13.5458,47.37,83,100,10.11,light rain
301,Muravlenko,RU,63.7898,74.523,47.75,84,100,20.47,overcast clouds
302,Sisimiut,GL,66.9395,-53.6735,43.16,86,100,17.29,overcast clouds
303,Egvekinot,RU,66.3167,-179.1667,36.0,82,100,3.58,overcast clouds
304,San Patricio,US,28.017,-97.5169,94.15,54,60,13.47,broken clouds
305,Manado,ID,1.487,124.8455,72.37,94,20,1.14,few clouds
306,San Francisco Menendez,SV,13.8431,-90.0158,80.94,80,100,5.61,overcast clouds
307,Ossora,RU,59.2353,163.0719,43.88,56,1,5.28,clear sky
308,Lira,UG,2.235,32.9097,68.88,77,96,2.98,overcast clouds
309,Torbay,CA,47.6666,-52.7314,55.38,71,40,4.0,scattered clouds
310,Talaya,RU,61.3833,152.75,39.79,52,100,3.58,overcast clouds
311,Oltu,TR,40.5498,42.0013,69.13,26,5,5.39,clear sky
312,Trujillo,PE,-8.116,-79.03,66.65,80,68,9.17,broken clouds
313,Matara,LK,5.9485,80.5353,78.06,87,100,9.31,overcast clouds
314,Takoradi,GH,4.8845,-1.7554,75.2,88,25,8.99,scattered clouds
315,Woodward,US,36.4337,-99.3904,96.96,26,0,12.66,clear sky
316,Murray Bridge,AU,-35.1167,139.2667,48.34,85,79,4.45,broken clouds
317,Canutama,BR,-6.5339,-64.3831,75.06,93,87,4.03,overcast clouds
318,Tuatapere,NZ,-46.1333,167.6833,49.84,82,100,6.91,light rain
319,Kurilsk,RU,45.2333,147.8833,63.55,92,100,5.59,light rain
320,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.68,67,1,12.88,clear sky
321,Orlik,RU,52.5178,99.825,34.47,78,1,2.75,clear sky
322,Barinas,VE,8.6226,-70.2075,85.59,61,97,4.59,overcast clouds
323,Uvalde,US,29.3669,-99.767,91.31,28,40,12.66,scattered clouds
324,Jiutai,CN,44.1525,125.8328,43.92,73,0,3.98,clear sky
325,Ilhabela,BR,-23.7781,-45.3581,64.83,78,13,7.78,few clouds
326,Pontes E Lacerda,BR,-15.2261,-59.3353,98.76,24,37,5.41,scattered clouds
327,Ligayan,PH,4.6533,119.4706,82.81,75,71,6.02,broken clouds
328,Pahrump,US,36.2083,-115.9839,86.45,14,0,11.01,clear sky
329,Bowen,AU,-20.0167,148.2333,73.83,89,4,4.45,clear sky
330,Flinders,AU,-34.5833,150.8552,58.24,66,52,4.0,broken clouds
331,Carleton Place,CA,45.1334,-76.1494,70.9,89,100,1.01,overcast clouds
332,Luderitz,NA,-26.6481,15.1594,53.13,71,0,17.96,clear sky
333,Sovetskaya,RU,44.7769,41.1722,73.0,38,1,7.2,clear sky
334,Nha Trang,VN,12.25,109.1833,77.0,85,100,5.93,overcast clouds
335,Luba,GQ,3.4568,8.5547,77.02,86,95,8.3,light rain
336,Pendleton,US,45.6721,-118.7886,66.61,59,97,3.0,overcast clouds
337,Virarajendrapet,IN,12.2,75.8,65.32,96,100,2.42,overcast clouds
338,Bathurst,AU,-33.4166,149.5806,43.48,90,58,8.84,broken clouds
339,Grand Baie,MU,-20.0182,57.5802,71.46,74,3,5.99,clear sky
340,Caravelas,BR,-17.7125,-39.2481,69.82,74,43,7.34,scattered clouds
341,Cayenne,GF,4.9333,-52.3333,87.84,66,0,9.22,clear sky
342,Bay City,US,43.5945,-83.8889,82.51,64,40,8.05,scattered clouds
343,Skibbereen,IE,51.55,-9.2667,53.94,79,52,3.85,broken clouds
344,Faanui,PF,-16.4833,-151.75,78.53,73,28,19.42,scattered clouds
345,Minab,IR,27.1467,57.0801,85.14,79,50,8.05,scattered clouds
346,Helena,US,46.5927,-112.0361,74.41,40,0,9.22,clear sky
347,Ocosingo,MX,17.0667,-92.25,71.28,93,92,3.11,overcast clouds
