City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
214,Hithadhoo,MV,81.5,overcast clouds,-0.6,73.0833,Scoop Guest House
216,Nichinan,JP,77.45,light rain,31.6,131.3667,Guest House Aki
219,Quatre Cocos,MU,71.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
220,Portland,US,82.87,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
221,Hamilton,US,85.6,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
224,Santa Marta,CO,77.9,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
226,Kilindoni,TZ,76.26,scattered clouds,-7.9139,39.6668,Bustani B&B
229,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
231,Port Perry,CA,76.48,broken clouds,44.1068,-78.9444,Willow Pond B&B and Wedding & Event Planners
232,Moranbah,AU,71.04,clear sky,-22.0016,148.0466,Property Vine - Monterey Moranbah
234,Ewo,CG,74.41,moderate rain,-0.8725,14.8206,Residence Elonda Ewo
235,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
242,San Jose,US,70.47,broken clouds,37.3394,-121.895,The Westin San Jose
243,Torit,SS,73.04,broken clouds,4.4133,32.5678,Diplomat Guest House
244,Ode,NG,70.25,light rain,7.7899,5.7117,OWONIDADDY HOTEL AND SUITES
245,Teahupoo,PF,76.96,scattered clouds,-17.8333,-149.2667,Vanira Lodge
251,Le Moule,GP,84.24,overcast clouds,16.3332,-61.3473,Lakaz Hananou
252,Sakakah,SA,89.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
253,Along,IN,73.56,broken clouds,28.1667,94.7667,Hotel West
254,Basco,PH,83.5,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
255,Teguise,ES,73.62,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
258,Guerrero Negro,MX,74.44,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
259,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
261,Vila Franca Do Campo,PT,72.01,few clouds,37.7167,-25.4333,Pestana Bahia Praia
269,Isangel,VU,77.74,broken clouds,-19.55,169.2667,Tanna Lodge
274,Mitsamiouli,KM,75.72,clear sky,-11.3847,43.2844,Foyer ADM
279,Laguna,US,78.17,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
280,Badnawar,IN,72.07,few clouds,23.0167,75.2167,Hotel Mrityunjay
281,Alto Araguaia,BR,86.94,broken clouds,-17.3147,-53.2153,Araguaia Palace Hotel
282,Pitimbu,BR,76.66,few clouds,-7.4706,-34.8086,Reserva do Abiaí
288,Ullal,IN,77.95,mist,12.8,74.85,AK INTERNATIONAL LODGE
289,Miyako,JP,75.7,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
291,Aleksandrov Gay,RU,72.07,few clouds,50.147,48.5704,Gostinitsa
305,Manado,ID,72.37,few clouds,1.487,124.8455,Aryaduta Hotel
306,San Francisco Menendez,SV,80.94,overcast clouds,13.8431,-90.0158,La casa de las Rivera
313,Matara,LK,78.06,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
314,Takoradi,GH,75.2,scattered clouds,4.8845,-1.7554,Raybow International Hotel
317,Canutama,BR,75.06,overcast clouds,-6.5339,-64.3831,Pousada Deus é Fiél
322,Barinas,VE,85.59,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
328,Pahrump,US,86.45,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
329,Bowen,AU,73.83,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
331,Carleton Place,CA,70.9,overcast clouds,45.1334,-76.1494,Barons Motor Inn
334,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
339,Grand Baie,MU,71.46,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
341,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
342,Bay City,US,82.51,scattered clouds,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
344,Faanui,PF,78.53,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
345,Minab,IR,85.14,scattered clouds,27.1467,57.0801,Bam campground
346,Helena,US,74.41,clear sky,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
347,Ocosingo,MX,71.28,overcast clouds,17.0667,-92.25,Chabek lumil
348,Batticaloa,LK,79.54,overcast clouds,7.7102,81.6924,Grand Star Guest House
